,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible
0,1946361000,6,454406024,-734765441,19240,67,93,1,13433,30
1,1946561000,6,454406024,-734765441,19240,64,86,2,13433,30
2,1946761000,6,454406024,-734765441,19240,64,86,1,13433,30
3,1946961000,6,454406024,-734765441,19240,64,86,0,13433,30
4,1947361000,6,454406024,-734765441,19230,64,86,1,13433,30
5,1947561000,6,454406024,-734765441,19230,64,86,1,13433,30
6,1947761000,6,454406024,-734765441,19240,64,86,1,13433,30
7,1947961000,6,454406024,-734765441,19240,64,86,0,13433,30
8,1948361000,6,454406024,-734765441,19230,64,86,1,13433,30
9,1948561000,6,454406024,-734765441,19230,64,86,0,13433,30
10,1948761000,6,454406024,-734765441,19230,64,86,2,13433,30
11,1948961000,6,454406024,-734765441,19230,64,86,1,13433,30
12,1949361000,6,454406024,-734765441,19230,64,86,0,13433,30
13,1949561000,6,454406024,-734765441,19230,64,86,0,13433,30
14,1949764000,6,454406024,-734765441,19230,64,86,1,13433,30
15,1949964000,6,454406024,-734765441,19230,64,86,1,13433,30
16,1950364000,6,454406024,-734765441,19220,64,86,0,13433,30
17,1950564000,6,454406024,-734765441,19230,64,86,1,13433,30
18,1950764000,6,454406024,-734765441,19230,64,86,2,13433,30
19,1950964000,6,454406024,-734765441,19220,64,86,0,13433,30
20,1951364000,6,454406024,-734765441,19230,64,86,1,13433,30
21,1951564000,6,454406024,-734765441,19230,64,86,1,13433,30
22,1951764000,6,454406024,-734765441,19230,64,86,0,13433,30
23,1951964000,6,454406024,-734765441,19230,64,86,0,13433,30
24,1952364000,6,454406024,-734765440,19230,64,86,1,13433,30
25,1952564000,6,454406024,-734765441,19230,64,86,1,13433,30
26,1952764000,6,454406024,-734765441,19230,64,86,2,13433,30
27,1952964000,6,454406024,-734765440,19230,64,86,0,13433,30
28,1953364000,6,454406024,-734765441,19230,64,86,1,13433,30
29,1953564000,6,454406024,-734765440,19230,64,86,0,13433,30
30,1953764000,6,454406024,-734765440,19230,64,86,1,13433,30
31,1953964000,6,454406024,-734765440,19230,64,86,0,13433,30
32,1954364000,6,454406025,-734765440,19220,64,86,1,13433,30
33,1954564000,6,454406024,-734765440,19230,64,86,0,13433,30
34,1954764000,6,454406024,-734765440,19230,64,86,0,13433,30
35,1954964000,6,454406024,-734765441,19230,64,86,0,13433,30
36,1955364000,6,454406024,-734765441,19230,64,86,0,13433,30
37,1955564000,6,454406024,-734765440,19230,64,86,1,13433,30
38,1955764000,6,454406024,-734765440,19230,64,86,1,13433,30
39,1955964000,6,454406024,-734765440,19230,64,86,1,13433,30
40,1956364000,6,454406024,-734765440,19230,64,86,1,13433,30
41,1956564000,6,454406024,-734765441,19230,64,86,1,13433,30
42,1956764000,6,454406024,-734765441,19230,60,80,1,13433,30
43,1956964000,6,454406024,-734765441,19230,60,80,2,13433,30
44,1957364000,6,454406024,-734765441,19230,60,80,1,13433,30
45,1957564000,6,454406024,-734765441,19230,60,80,1,13433,30
46,1957764000,6,454406024,-734765441,19230,64,86,0,13433,30
47,1957964000,6,454406024,-734765441,19230,64,86,1,13433,30
48,1958364000,6,454406024,-734765441,19230,64,86,1,13433,30
49,1958564000,6,454406024,-734765441,19230,64,86,2,13433,30
50,1958764000,6,454406024,-734765441,19230,64,86,0,13433,30
51,1958964000,6,454406024,-734765441,19230,64,86,0,13433,30
52,1959364000,6,454406025,-734765441,19230,62,80,1,13433,30
53,1959564000,6,454406024,-734765440,19230,62,80,1,13433,30
54,1959764000,6,454406024,-734765441,19230,64,86,3,13433,30
55,1959964000,6,454406025,-734765441,19230,62,80,0,13433,30
56,1960364000,6,454406024,-734765441,19230,62,80,1,13433,30
57,1960564000,6,454406024,-734765441,19240,62,80,1,13433,30
58,1960764000,6,454406025,-734765441,19230,62,80,1,13433,30
59,1960964000,6,454406024,-734765440,19230,62,80,1,13433,30
60,1961364000,6,454406024,-734765440,19230,62,80,0,13433,30
61,1961564000,6,454406025,-734765440,19230,62,80,2,13433,30
62,1961764000,6,454406025,-734765440,19230,62,80,2,13433,30
63,1961964000,6,454406025,-734765440,19230,62,80,1,13433,30
64,1962364000,6,454406025,-734765441,19230,62,80,0,13433,30
65,1962564000,6,454406025,-734765440,19230,62,80,1,13433,30
66,1962764000,6,454406025,-734765440,19230,62,80,0,13433,30
67,1962964000,6,454406024,-734765440,19230,62,80,0,13433,30
68,1963364000,6,454406025,-734765440,19230,62,80,1,13433,30
69,1963564000,6,454406025,-734765440,19230,62,80,0,13433,30
70,1963764000,6,454406025,-734765440,19230,62,80,1,13433,30
71,1963964000,6,454406025,-734765440,19230,62,80,0,13433,30
72,1964364000,6,454406025,-734765440,19230,62,80,2,13433,30
73,1964564000,6,454406025,-734765440,19230,62,80,1,13433,30
74,1964764000,6,454406025,-734765440,19230,62,80,0,13433,30
75,1964964000,6,454406024,-734765440,19240,62,80,1,13433,30
76,1965364000,6,454406025,-734765440,19240,62,80,0,13433,30
77,1965564000,6,454406024,-734765440,19240,62,80,1,13433,30
78,1965764000,6,454406024,-734765440,19240,62,80,1,13433,30
79,1965964000,6,454406025,-734765440,19240,62,80,0,13433,30
80,1966364000,6,454406024,-734765441,19240,62,80,0,13433,30
81,1966564000,6,454406025,-734765441,19240,62,80,1,13433,30
82,1966764000,6,454406024,-734765440,19240,62,80,0,13433,30
83,1966964000,6,454406024,-734765441,19240,62,80,1,13433,30
84,1967364000,6,454406025,-734765440,19240,62,80,0,13433,30
85,1967564000,6,454406024,-734765441,19240,62,80,0,13433,30
86,1967764000,6,454406024,-734765440,19240,62,80,1,13433,30
87,1967964000,6,454406025,-734765441,19240,62,80,0,13433,30
88,1968364000,6,454406025,-734765441,19240,62,80,0,13433,30
89,1968564000,6,454406025,-734765441,19240,58,76,0,13433,30
90,1968764000,6,454406025,-734765440,19230,58,76,1,13433,30
91,1968964000,6,454406024,-734765441,19240,58,76,0,13433,30
92,1969364000,6,454406025,-734765441,19240,58,76,2,13433,30
93,1969564000,6,454406024,-734765441,19240,58,76,0,13433,30
94,1969766000,6,454406024,-734765441,19240,62,80,1,13433,30
95,1969966000,6,454406024,-734765441,19240,58,76,1,13433,30
96,1970366000,6,454406024,-734765441,19240,58,76,0,13433,30
97,1970566000,6,454406024,-734765440,19240,58,76,0,13433,30
98,1970766000,6,454406024,-734765440,19230,58,76,0,13433,30
99,1970966000,6,454406024,-734765441,19240,58,76,0,13433,30
100,1971366000,6,454406024,-734765441,19240,58,76,1,13433,30
101,1971566000,6,454406024,-734765441,19240,58,76,1,13433,30
102,1971766000,6,454406024,-734765441,19240,58,76,0,13433,30
103,1971966000,6,454406024,-734765441,19230,58,76,1,13433,30
104,1972366000,6,454406024,-734765441,19240,58,76,0,13433,30
105,1972566000,6,454406024,-734765440,19240,58,76,0,13433,30
106,1972766000,6,454406024,-734765441,19240,58,76,1,13433,30
107,1972966000,6,454406024,-734765441,19240,58,76,2,13433,30
108,1973366000,6,454406025,-734765441,19230,58,76,1,13433,30
109,1973566000,6,454406024,-734765441,19240,58,76,1,13433,30
110,1973766000,6,454406024,-734765440,19230,62,80,0,13433,30
111,1973966000,6,454406024,-734765441,19230,62,80,0,13433,30
112,1974366000,6,454406024,-734765441,19240,62,80,0,13433,30
113,1974566000,6,454406024,-734765441,19240,62,80,0,13433,30
114,1974766000,6,454406024,-734765440,19240,62,80,1,13433,30
115,1974966000,6,454406024,-734765440,19240,62,80,0,13433,30
116,1975366000,6,454406024,-734765441,19240,62,80,1,13433,30
117,1975566000,6,454406024,-734765441,19240,62,80,0,13433,30
118,1975766000,6,454406024,-734765441,19240,62,80,0,13433,30
119,1975966000,6,454406024,-734765441,19240,62,80,0,13433,30
120,1976366000,6,454406024,-734765441,19240,62,80,1,13433,30
121,1976566000,6,454406024,-734765441,19240,62,80,0,13433,30
122,1976766000,6,454406024,-734765441,19240,62,80,0,13433,30
123,1976966000,6,454406024,-734765441,19240,62,80,0,13433,30
124,1977366000,6,454406024,-734765441,19240,62,80,1,13433,30
125,1977566000,6,454406024,-734765441,19240,62,80,1,13433,30
126,1977766000,6,454406024,-734765441,19250,62,80,1,13433,30
127,1977966000,6,454406024,-734765441,19240,62,80,0,13433,30
