,time_usec,fix_type,lat,lon,alt,eph,epv,vel,cog,satellites_visible
0,516742000,6,454406012,-734765433,19040,59,84,1,15554,27
1,517542000,6,454406012,-734765433,19040,59,84,1,15554,27
2,518342000,6,454406012,-734765433,19040,59,84,0,15554,27
3,518742000,6,454406012,-734765433,19030,59,84,1,15554,27
4,518942000,6,454406012,-734765432,19040,59,84,1,15554,27
5,519542000,6,454406012,-734765432,19040,59,84,0,15554,27
6,519942000,6,454406012,-734765433,19030,59,84,1,15554,27
7,520542000,6,454406012,-734765432,19030,59,84,1,15554,27
8,521542000,6,454406012,-734765432,19040,59,84,1,15554,27
9,522542000,6,454406013,-734765433,19020,59,84,3,15554,27
10,523342000,6,454406013,-734765433,19010,59,84,2,15554,27
11,523742000,6,454406013,-734765433,19010,59,84,1,15554,27
12,524342000,6,454406013,-734765432,19020,59,84,0,15554,27
13,524542000,6,454406013,-734765432,19020,59,84,1,15554,27
14,524742000,6,454406013,-734765432,19010,59,84,2,15554,27
15,525542000,6,454406013,-734765432,19010,59,84,2,15554,27
16,526542000,6,454406013,-734765432,19010,59,84,1,15554,27
17,527542000,6,454406013,-734765432,19010,59,84,2,15554,27
18,527742000,6,454406013,-734765432,19010,59,84,2,15554,27
19,527942000,6,454406013,-734765432,19020,59,84,0,15554,27
20,528342000,6,454406013,-734765432,19020,59,84,1,15554,27
21,528942000,6,454406013,-734765432,19020,59,84,0,15554,27
22,529142000,6,454406013,-734765432,19010,59,84,0,15554,27
23,529946000,6,454406013,-734765432,19020,59,84,1,15554,27
24,530546000,6,454406013,-734765432,19020,59,84,0,15554,27
25,531546000,6,454406013,-734765431,19020,59,84,1,15554,27
26,531746000,6,454406013,-734765432,19020,59,84,0,15554,27
27,532346000,6,454406013,-734765432,19010,59,84,0,15554,27
28,532746000,6,454406013,-734765432,19020,59,84,1,15554,27
29,532946000,6,454406013,-734765432,19020,59,84,1,15554,27
30,533146000,6,454406013,-734765432,19020,59,84,2,15554,27
31,533346000,6,454406013,-734765432,19020,59,84,2,15554,27
32,533746000,6,454406013,-734765432,19020,59,84,2,15554,27
33,533946000,6,454406013,-734765432,19020,59,84,1,15554,27
34,534146000,6,454406013,-734765432,19020,59,84,3,15554,27
35,534546000,6,454406013,-734765432,19020,59,84,2,15554,27
36,534746000,6,454406013,-734765432,19020,59,84,2,15554,27
37,534946000,6,454406013,-734765432,19020,59,84,3,15554,27
38,535146000,6,454406013,-734765432,19020,59,84,0,15554,27
39,535346000,6,454406013,-734765432,19020,59,84,2,15554,27
40,535746000,6,454406013,-734765432,19010,59,84,1,15554,27
41,535946000,6,454406013,-734765432,19020,59,84,0,15554,27
42,536146000,6,454406013,-734765432,19020,59,84,0,15554,27
43,536346000,6,454406013,-734765432,19020,59,84,1,15554,27
44,536746000,6,454406013,-734765432,19020,59,84,1,15554,27
45,536946000,6,454406013,-734765432,19010,59,84,1,15554,27
46,537146000,6,454406013,-734765432,19010,59,84,2,15554,27
47,537346000,6,454406013,-734765432,19010,59,84,0,15554,27
48,537746000,6,454406013,-734765432,19020,59,84,1,15554,27
49,537946000,6,454406013,-734765432,19020,59,84,1,15554,27
50,538146000,6,454406013,-734765432,19020,59,84,1,15554,27
51,538546000,6,454406013,-734765432,19030,59,84,4,15554,27
52,538746000,6,454406013,-734765432,19020,59,84,1,15554,27
53,538946000,6,454406013,-734765432,19020,59,84,0,15554,27
54,539146000,6,454406013,-734765432,19020,59,84,0,15554,27
55,539346000,6,454406013,-734765432,19020,59,84,1,15554,27
56,539746000,6,454406013,-734765432,19020,59,84,0,15554,27
57,539946000,6,454406013,-734765432,19020,59,84,0,15554,27
